,Timestamp,Wat is je vooropleiding?,Waar woon je nu?,"Ik heb voor deze studie gekozen, omdat...",Kies de TV-/internetserie die jou het meest aanspreekt.,Kies de hobby die jou het meest aanspreekt.,Star...?,Hoe zou jij HBO-ICT het liefst willen toepassen?,Kies de computergame die jou het meest aanspreekt.,Kies de superheld die jou het meest aanspreekt.,"Als je een huisdier zou mogen kiezen, welke zou dat dan zijn?",Kies het Operating System dat jou het meest aanspreekt.,Ik had mijn huiswerk goed voorbereid.,Als je voor opdracht A hebt gekozen: Had je pen en papier meegenomen?,Welke opdracht heb je gekozen? ,Ik denk dat ik Python vaak zou willen gebruiken.,Ik vond de opdrachten onnodig complex.,Ik vond Python makkelijk te programmeren,Ik denk dat ik veel hulp van een docent/studentassistent nodig zal hebben als ik Python ga programmeren.,De opdrachten vertoonden veel samenhang.,De opdrachten waren inconsistent.,Ik kan me voorstellen dat de meeste mensen snel leren programmeren in Python ,Ik vond de opdrachten erg lastig,Ik voelde me erg zelfverzekerd tijdens het maken van de opdrachten,Ik moest eerst veel leren voordat ik de opdrachten kon maken.
67,4/7/2015 14:27:54,MBO,Noord-Brabant,...deze mij het leukst leek.,Game of Thrones,TV kijken,Star Trek,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Angry Birds / Flappy Bird,Superman,Kat,Windows,4,Nee,Opdracht D,3,2,3,3,3,3,3,3,3,3
68,4/7/2015 14:27:55,MBO,Zuid-Holland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Star Wars,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Deadpool,Hond,Windows,4,Ja,Opdracht A,4,3,2,3,3,4,3,4,4,3
69,4/7/2015 14:27:56,MBO,Utrecht,...deze mij het leukst leek.,Naruto,Gamen,Star Wars,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Pokémon,Iron man,Hond,Windows,4,Nee,Opdracht C,3,2,3,3,3,3,4,3,3,3
70,4/7/2015 14:28:05,MBO,Flevoland,...deze mij het leukst leek.,Naruto,Gamen,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Call of Duty / Battlefield,Deadpool,Kat,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht B,2,1,2,3,3,3,4,4,3,2
71,4/7/2015 14:28:05,Havo,Flevoland,...deze mij het leukst leek.,Naruto,Gamen,Star Wars,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,World of Warcraft / League of Legends,Deadpool,Mewtwo,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht B,4,3,2,3,5,2,2,3,4,2
72,4/7/2015 14:28:11,MBO,Zuid-Holland,...deze mij het leukst leek.,The Big Bang Theory,Stappen / uitgaan,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Iron man,Hond,Linux,4,Ik heb niet voor opdracht A gekozen,Opdracht B,2,2,2,4,4,2,3,3,2,4
73,4/7/2015 14:28:25,Havo,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Stappen / uitgaan,Stark Industries,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Pokémon,Iron man,Hond,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht C,4,3,3,3,4,4,3,3,4,2
74,4/7/2015 14:28:25,MBO,Zuid-Holland,...deze mij het leukst leek.,The Big Bang Theory,Gamen,Star Wars,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Superman,Kat,OS X,4,Ik heb niet voor opdracht A gekozen,Opdracht B,4,1,4,1,2,3,3,1,5,1
75,4/7/2015 14:28:26,MBO,Gelderland,...deze mij het leukst leek.,Game of Thrones,Stappen / uitgaan,Starbucks,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Pokémon,Batman,Kat,Windows,2,Ja,Opdracht A,2,2,2,2,3,3,4,3,2,3
76,4/7/2015 14:28:29,Havo,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Starbucks,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Grand Theft Auto,Superman,Kat,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht D,4,2,3,3,4,2,4,2,4,3
77,4/7/2015 14:28:40,Havo,Utrecht,...deze mij het leukst leek.,Game of Thrones,Gamen,Stark Industries,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,World of Warcraft / League of Legends,Iron man,Kat,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,4,2,4,4,3,4,4,3,3,2
78,4/7/2015 14:28:49,VWO en 3 jaar Optometrie,Utrecht,...deze mij het meeste kans op een baan geeft.,Breaking Bad / Better Call Saul,Stappen / uitgaan,Starbucks,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,World of Warcraft / League of Legends,Wonder Woman,Mewtwo,Windows,4,Nee,Opdracht A,4,2,3,4,3,3,4,2,3,3
79,4/7/2015 17:38:12,Havo,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Starbucks,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Grand Theft Auto,Deadpool,Mewtwo,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht B,4,3,3,3,3,3,4,3,4,2
80,4/7/2015 20:08:35,MBO,Zuid-Holland,...deze mij het makkelijkst leek (ik ben goed met computers).,Game of Thrones,Stappen / uitgaan,Starbucks,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,World of Warcraft / League of Legends,Iron man,Mewtwo,OS X,3,Ik heb niet voor opdracht A gekozen,Opdracht B,4,2,2,4,3,3,3,4,3,4
81,4/7/2015 23:09:23,Havo,Utrecht,...deze mij het leukst leek.,Naruto,Gamen,Star Wars,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,Call of Duty / Battlefield,Deadpool,Hond,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht B,5,2,3,4,5,4,2,3,2,2
82,4/10/2015 10:07:05,niet bekend,Noord-Holland,...deze mij het makkelijkst leek (ik ben goed met computers).,The Big Bang Theory,Denk- en puzzelsport,Stark Industries,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Angry Birds / Flappy Bird,Iron man,Hond,Linux,5,Ja,Opdracht D,5,4,5,5,5,5,5,2,5,1
83,4/10/2015 10:11:45,MBO,Noord-Brabant,...deze mij het leukst leek.,The Walking Dead,Stappen / uitgaan,Starbucks,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Grand Theft Auto,Iron man,Hond,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht D,3,3,3,2,3,3,2,1,3,3
84,5/27/2015 18:29:53,VWO,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,TV kijken,Star Wars,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Call of Duty / Battlefield,Batman,Kat,Linux,3,Ja,Opdracht A,3,3,3,3,3,3,3,3,3,3
85,5/28/2015 13:17:49,Havo,Utrecht,...deze mij het leukst leek.,The Walking Dead,Actieve sport,Stark Industries,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,Grand Theft Auto,Superman,Hond,Windows,2,Ik heb niet voor opdracht A gekozen,Opdracht B,3,5,5,2,3,3,4,4,4,3
86,6/7/2015 16:55:12,Havo,Noord-Holland,...deze mij het leukst leek.,The Walking Dead,Gamen,Star Trek,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Angry Birds / Flappy Bird,Superman,Kat,Windows,3,Ja,Opdracht A,3,3,3,3,3,3,3,3,3,3
87,6/16/2015 10:46:25,Havo,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Actieve sport,Star Trek,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,World of Warcraft / League of Legends,Batman,Kat,Linux,5,Ik heb niet voor opdracht A gekozen,Opdracht C,5,1,5,1,5,1,5,1,5,1
88,6/22/2015 14:06:44,MBO,Noord-Brabant,...deze mij het leukst leek.,Game of Thrones,Stappen / uitgaan,Starbucks,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Batman,Hond,OS X,4,Ik heb niet voor opdracht A gekozen,Opdracht D,3,2,3,3,3,4,3,2,4,2
89,6/22/2015 14:07:46,MBO,Zuid-Holland,...deze mij het leukst leek.,Naruto,Denk- en puzzelsport,Star Trek,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,Pokémon,Iron man,Mewtwo,Windows,5,Ja,Opdracht C,3,1,5,1,5,5,5,1,5,1
90,6/22/2015 14:08:05,Havo,Utrecht,...deze mij het leukst leek.,Game of Thrones,Stappen / uitgaan,Stark Industries,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Call of Duty / Battlefield,Iron man,Hond,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht C,2,4,5,2,3,3,2,1,4,1
91,6/22/2015 14:09:00,MBO,Utrecht,...deze mij het leukst leek.,Game of Thrones,Gamen,Star Trek,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,World of Warcraft / League of Legends,Iron man,Kat,Windows,3,Nee,Opdracht B,3,2,4,3,5,2,2,4,3,2
92,6/22/2015 14:13:11,Havo,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Actieve sport,Starbucks,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Grand Theft Auto,Iron man,Hond,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht B,4,2,4,1,5,5,4,2,5,2
93,6/22/2015 14:13:13,MBO,Utrecht,...deze mij het leukst leek.,The Walking Dead,Actieve sport,Starbucks,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Call of Duty / Battlefield,Iron man,Mewtwo,Windows,4,Ja,Opdracht A,3,2,2,3,4,3,2,1,4,1
94,6/22/2015 14:15:50,VWO,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Gamen,Stark Industries,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Deadpool,Hond,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht B,5,2,4,3,3,1,5,3,5,3
95,6/22/2015 14:15:56,Havo,Utrecht,...deze mij het leukst leek.,The Walking Dead,Stappen / uitgaan,Star Trek,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Pokémon,Deadpool,Mewtwo,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht C,3,2,4,3,3,2,5,1,5,1
96,6/22/2015 14:16:16,MBO,Utrecht,...deze mij het leukst leek.,The Walking Dead,Stappen / uitgaan,Star Wars,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Grand Theft Auto,Iron man,Mewtwo,Windows,5,Nee,Opdracht C,4,1,5,2,3,2,4,1,5,1
97,6/22/2015 14:16:42,MBO,Gelderland,...deze mij het makkelijkst leek (ik ben goed met computers).,Game of Thrones,Gamen,Stark Industries,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,World of Warcraft / League of Legends,Deadpool,Kat,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht B,3,2,3,1,3,4,3,1,4,1
98,6/22/2015 14:18:06,MBO,Utrecht,...deze mij het leukst leek.,The Walking Dead,Gamen,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Deadpool,Hond,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht D,3,2,3,3,3,4,4,1,4,2
99,6/22/2015 14:22:23,MBO,Utrecht,...deze mij het leukst leek.,Game of Thrones,Stappen / uitgaan,Stark Industries,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Iron man,Mewtwo,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht D,3,3,2,4,3,2,3,4,2,4
100,6/22/2015 14:22:57,MBO,Noord-Holland,...deze mij het meeste kans op een baan geeft.,The Walking Dead,Denk- en puzzelsport,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Batman,Hond,OS X,5,Ik heb niet voor opdracht A gekozen,Opdracht D,1,1,3,3,2,3,2,2,4,1
101,6/22/2015 14:24:44,Havo,Zuid-Holland,...deze mij het leukst leek.,Game of Thrones,Actieve sport,Starbucks,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Angry Birds / Flappy Bird,Wonder Woman,Hond,OS X,4,Ik heb niet voor opdracht A gekozen,Opdracht D,4,1,3,3,4,3,4,3,3,2
102,6/22/2015 14:25:39,Havo,Noord-Holland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Stappen / uitgaan,Starbucks,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Pokémon,Deadpool,Kat,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht B,4,4,5,3,3,2,5,3,3,4
103,6/22/2015 14:26:07,MBO,Utrecht,...deze mij het leukst leek.,Game of Thrones,Gamen,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Batman,Kat,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,1,4,1,5,3,3,2,4,3,4
104,6/22/2015 14:26:12,Havo,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Denk- en puzzelsport,Starbucks,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Call of Duty / Battlefield,Batman,Hond,Windows,3,Ja,Opdracht A,4,2,3,3,4,2,2,4,3,4
105,6/22/2015 14:26:25,Havo,Utrecht,...deze mij het leukst leek.,The Walking Dead,Gamen,Star Wars,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,Grand Theft Auto,Deadpool,Mewtwo,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht B,3,3,3,4,3,3,4,3,3,4
106,6/22/2015 14:26:45,Havo,Utrecht,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Stark Industries,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Call of Duty / Battlefield,Deadpool,Kat,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht B,4,3,4,4,5,2,4,3,2,5
107,6/22/2015 14:26:50,Havo,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Actieve sport,Stark Industries,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Call of Duty / Battlefield,Deadpool,Mewtwo,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,3,2,4,3,3,3,4,2,4,4
108,6/22/2015 14:27:24,MBO,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Gamen,Starbucks,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Superman,Hond,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,4,3,3,3,4,4,4,2,4,4
109,6/22/2015 14:27:58,Havo,Noord-Holland,...deze mij het leukst leek.,Game of Thrones,Actieve sport,Star Wars,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Pokémon,Batman,Mewtwo,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht B,1,2,3,1,3,3,4,2,5,1
110,6/22/2015 14:28:05,Havo,Noord-Holland,...deze mij het leukst leek.,Game of Thrones,Actieve sport,Star Wars,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Pokémon,Batman,Mewtwo,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht B,1,2,3,1,3,3,4,2,5,1
111,6/22/2015 14:28:26,MBO,Utrecht,...deze mij het makkelijkst leek (ik ben goed met computers).,The Walking Dead,Actieve sport,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Superman,Hond,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht D,3,1,3,4,4,3,2,4,4,1
112,6/22/2015 14:28:49,MBO,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Gamen,Starbucks,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Batman,Hond,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,3,2,3,4,4,2,4,3,3,3
113,6/22/2015 14:29:04,Havo,Gelderland,...deze mij het leukst leek.,The Walking Dead,Actieve sport,Star Wars,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Superman,Kat,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht C,4,1,4,3,4,3,4,2,4,2
114,6/22/2015 14:30:32,Havo,Flevoland,...deze mij het leukst leek.,Game of Thrones,Gamen,Stark Industries,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",World of Warcraft / League of Legends,Iron man,Kat,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht C,3,1,4,4,4,3,4,2,4,1
115,6/22/2015 14:30:40,Havo,Gelderland,...deze mij het meeste kans op een baan geeft.,Game of Thrones,Gamen,Starbucks,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,Grand Theft Auto,Iron man,Kat,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht D,4,3,4,3,3,4,4,3,3,4
116,6/22/2015 14:31:00,HBO/HAVO,Utrecht,...deze mij het leukst leek.,The Walking Dead,Stappen / uitgaan,Starbucks,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Superman,Kat,OS X,3,Ik heb niet voor opdracht A gekozen,Opdracht D,3,3,4,3,3,3,5,2,4,4
117,6/22/2015 14:31:17,MBO,Zuid-Holland,...deze mij het leukst leek.,Breaking Bad / Better Call Saul,Gamen,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Deadpool,Kat,Linux,3,Ik heb niet voor opdracht A gekozen,Opdracht D,3,3,3,2,3,3,2,3,3,3
118,6/22/2015 14:32:21,Havo,Utrecht,...deze mij het meeste kans op een baan geeft.,Game of Thrones,Gamen,Star Wars,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,World of Warcraft / League of Legends,Iron man,Mewtwo,Windows,2,Ik heb niet voor opdracht A gekozen,Opdracht D,3,1,2,4,3,4,4,3,3,4
119,6/22/2015 14:32:55,Havo,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Actieve sport,Stark Industries,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Deadpool,Hond,Linux,5,Ik heb niet voor opdracht A gekozen,Opdracht B,4,2,4,3,4,3,4,2,4,1
120,6/22/2015 14:33:05,Havo,Utrecht,...deze mij het leukst leek.,Game of Thrones,Gamen,Starbucks,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,World of Warcraft / League of Legends,Batman,Hond,Windows,2,Nee,Opdracht A,2,3,2,4,4,3,3,3,2,4
121,6/22/2015 14:34:05,Havo,Utrecht,...deze mij het meeste kans op een baan geeft.,The Walking Dead,Gamen,Star Wars,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Call of Duty / Battlefield,Iron man,Hond,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht C,4,2,4,4,3,3,4,2,4,3
122,6/22/2015 14:34:12,VWO,Utrecht,...deze mij het leukst leek.,Game of Thrones,Gamen,Star Wars,Data over reisvluchten en koopgedrag op een luchthaven verzamelen en analyseren om het productaanbod beter te laten aansluiten op reizigers.,Grand Theft Auto,Deadpool,Kat,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht B,5,2,4,3,3,2,4,2,4,3
123,6/22/2015 14:34:20,MBO,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Gamen,Star Wars,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Grand Theft Auto,Superman,Kat,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht D,4,1,4,2,3,2,5,1,5,3
124,6/22/2015 14:34:40,Havo,Utrecht,...deze mij het leukst leek.,Game of Thrones,Gamen,Starbucks,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Grand Theft Auto,Superman,Hond,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht B,3,3,3,3,3,3,3,3,3,3
125,6/22/2015 14:34:55,Havo,Utrecht,...deze mij het leukst leek.,The Walking Dead,Actieve sport,Starbucks,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Grand Theft Auto,Iron man,Hond,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht B,3,2,2,3,2,4,4,4,2,3
126,6/22/2015 14:35:11,Havo,Flevoland,...deze mij het leukst leek.,The Big Bang Theory,Gamen,Stark Industries,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Grand Theft Auto,Iron man,Hond,Linux,5,Ik heb niet voor opdracht A gekozen,Opdracht C,4,1,5,1,5,4,5,1,5,1
127,6/22/2015 14:35:09,Havo,Utrecht,...deze mij het leukst leek.,The Walking Dead,Gamen,Stark Industries,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Iron man,Rancor,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,4,2,4,2,3,1,3,2,4,2
128,6/22/2015 14:35:18,Havo,Utrecht,...deze mij het leukst leek.,The Walking Dead,Stappen / uitgaan,Starbucks,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Call of Duty / Battlefield,Deadpool,Hond,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht B,4,3,2,3,4,4,4,3,2,4
129,6/22/2015 14:35:19,"Havo gedaan, maar ook mijn MBO Niv 4 ",Utrecht,...deze mij het leukst leek.,Game of Thrones,Stappen / uitgaan,Stark Industries,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",World of Warcraft / League of Legends,Batman,Kat,OS X,3,Ik heb niet voor opdracht A gekozen,Opdracht B,4,3,2,3,4,5,4,2,3,4
130,6/22/2015 14:35:24,MBO,Utrecht,...deze mij het leukst leek.,The Big Bang Theory,Stappen / uitgaan,Star Wars,"Het combineren van 112 Alarmeringen, Twitter, Instagram en andere sociale media om snel een beeld te krijgen van de situatie ter plaatse.",Call of Duty / Battlefield,Wonder Woman,Mewtwo,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,3,3,3,3,2,1,3,1,4,2
131,6/22/2015 14:35:26,Havo,Gelderland,...deze mij het leukst leek.,Game of Thrones,Stappen / uitgaan,Stark Industries,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Batman,Hond,Windows,3,Ik heb niet voor opdracht A gekozen,Opdracht D,4,3,3,3,3,2,3,3,4,4
132,6/22/2015 14:35:26,Havo,Utrecht,...deze mij het leukst leek.,Game of Thrones,Actieve sport,Starbucks,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,Call of Duty / Battlefield,Batman,Hond,OS X,3,Ik heb niet voor opdracht A gekozen,Opdracht B,5,3,1,4,4,4,4,3,3,4
133,6/22/2015 14:35:32,Havo,Utrecht,...deze mij het leukst leek.,The Walking Dead,Gamen,Stark Industries,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Grand Theft Auto,Iron man,Mewtwo,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht D,4,2,4,4,2,2,4,2,3,3
134,6/22/2015 14:35:35,Havo,Utrecht,...deze mij het leukst leek.,Naruto,Gamen,Star Trek,Een vernieuwingsproces analyseren op overbodige of dubbele processen om de marktintroductietijd (tijd om een product te maken en in de markt te zetten) van een product te verkleinen.,World of Warcraft / League of Legends,Deadpool,Kat,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht C,4,2,5,2,3,2,5,1,4,2
135,6/22/2015 14:35:37,Havo,Utrecht,...deze mij het leukst leek.,Game of Thrones,Gamen,Stark Industries,Drones over een rampgebied laten vliegen om te helpen bij het opsporen van vermiste personen.,Pokémon,Deadpool,Kat,Windows,5,Ik heb niet voor opdracht A gekozen,Opdracht C,4,2,4,3,4,2,4,1,4,1
136,6/22/2015 14:35:48,Havo,Utrecht,...deze mij het leukst leek.,Game of Thrones,Gamen,Starbucks,Het beschermen van cruciale bedrijfsnetwerken tegen digitale aanvallen en ervoor zorgen dat data nooit gelekt wordt naar de buitenwereld.,Pokémon,Iron man,Mewtwo,Windows,4,Ik heb niet voor opdracht A gekozen,Opdracht D,3,2,3,3,4,4,3,2,3,3
